# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	9469
#@/user_id	cd7a444b-bd10-4f36-b2f9-43f3afd34724
a1 a1 a1 a1 	啊啊啊啊	c=0 d=0.0900325 t=9469
a1 a1 a1 a1 a5 	啊啊啊啊啊	c=1 d=0.904837 t=9469
a1 fu4 han4 	阿富汗	c=1 d=0.733447 t=9469
a1 zhe4 	啊這	c=5 d=1.63742 t=9469
a5 	啊	c=30 d=4.85746 t=9469
ai1 	哎	c=1 d=0.814647 t=9469
ai1 ya1 	哎呀	c=1 d=0.782705 t=9469
ai4 	愛	c=2 d=1.1861 t=9469
ai4 chi1 	愛喫	c=1 d=0.628135 t=9469
ai4 xin1 	愛心	c=1 d=0.172907 t=9469
an1 de2 	安德	c=1 d=0.481909 t=9469
an1 pai2 	安排	c=1 d=0.737123 t=9469
an1 quan2 	安全	c=3 d=1.03925 t=9469
an3 	俺	c=5 d=1.07751 t=9469
an4 	按	c=16 d=2.22295 t=9469
an4 jian4 	按鍵	c=5 d=1.11363 t=9469
an4 jian4 	案件	c=1 d=0.715338 t=9469
an4 le5 	按了	c=2 d=1.08876 t=9469
an4 niu3 	按鈕	c=5 d=1.85258 t=9469
an4 zhi3 	暗指	c=1 d=0.995012 t=9469
ba1 	吧	c=34 d=4.80863 t=9469
ba2 dao1 	拔刀	c=1 d=0.464274 t=9469
ba2 dao1 jian4 	拔刀劍	c=10 d=4.52837 t=9469
ba2 dao1 zhan3 	拔刀斬	c=2 d=0.929947 t=9469
ba3 	把	c=55 d=6.03576 t=9469
ba3 ni3 	把你	c=1 d=0.97531 t=9469
ba3 shou3 	把手	c=1 d=0.729789 t=9469
ba3 ta1 	把它	c=1 d=0.839457 t=9469
ba3 wo3 	把我	c=1 d=0.414783 t=9469
bai2 	白	c=2 d=0.806388 t=9469
bai2 bai2 	白白	c=1 d=0.946485 t=9469
bai2 chi1 	白癡	c=1 d=0.0250972 t=9469
bai2 hu2 	白狐	c=1 d=0.0399551 t=9469
bai2 se4 	白色	c=2 d=0.138503 t=9469
bai4 tuo1 	拜託	c=1 d=0.790571 t=9469
ban1 	搬	c=3 d=1.69198 t=9469
ban1 	班	c=3 d=0.759572 t=9469
ban1 dao4 	搬到	c=1 d=0.168638 t=9469
ban3 	版	c=1 d=0.913931 t=9469
ban3 ben3 	版本	c=1 d=0.877569 t=9469
ban3 yan2 	板岩	c=0 d=0.0737123 t=9469
ban3 zi5 	板子	c=1 d=0.255381 t=9469
ban4 	半	c=3 d=1.4261 t=9469
ban4 	辦	c=1 d=0.960789 t=9469
ban4 gong1 yi3 	辦公椅	c=1 d=0.970446 t=9469
ban4 ni3 	辦你	c=1 d=0.666977 t=9469
ban4 tiao2 ming4 	半條命	c=1 d=0.444858 t=9469
ban4 zu3 	半組	c=2 d=1.36779 t=9469
bang1 	幫	c=1 d=0.895834 t=9469
bang1 mang2 	幫忙	c=1 d=0.802519 t=9469
bang1 ni3 	幫你	c=2 d=0.67032 t=9469
bang1 wo3 	幫我	c=2 d=0.818731 t=9469
bang3 zhu4 	綁住	c=1 d=0.600496 t=9469
bao1 	包	c=2 d=1.44784 t=9469
bao1 bao1 	包包	c=2 d=0.179953 t=9469
bao1 zhuang1 	包裝	c=1 d=0.65377 t=9469
bao3 dian3 	寶典	c=1 d=0.882497 t=9469
bao3 hu4 	保護	c=1 d=0.856415 t=9469
bao3 lei3 	堡壘	c=0 d=0.0603506 t=9469
bao3 liu2 	保留	c=1 d=0.465334 t=9469
bao3 shi2 	寶石	c=1 d=0.349938 t=9469
bao3 xian3 	保險	c=1 d=0.707616 t=9469
bao4 	爆	c=2 d=0.114178 t=9469
bao4 diao4 	爆掉	c=2 d=0.0613198 t=9469
bao4 fu4 xing4 	報復性	c=1 d=0.923116 t=9469
bao4 ji1 	暴擊	c=1 d=0.0096577 t=9469
bao4 qian4 	抱歉	c=1 d=0.316637 t=9469
bao4 zha4 	爆炸	c=3 d=1.18378 t=9469
bei1 bao1 	背包	c=28 d=6.99137 t=9469
bei1 hou4 	背後	c=1 d=0.0332068 t=9469
bei3 	北	c=1 d=0.57695 t=9469
bei4 	背	c=2 d=0.559898 t=9469
bei4 	被	c=15 d=2.81611 t=9469
bei4 dong4 	被動	c=1 d=0.666977 t=9469
ben3 	本	c=1 d=0.0639279 t=9469
ben3 lai2 	本來	c=2 d=0.635939 t=9469
ben3 wo3 	本我	c=1 d=0.843665 t=9469
bi1 	逼	c=1 d=0.694197 t=9469
bi3 	比	c=4 d=1.99451 t=9469
bi3 dian4 	筆電	c=5 d=4.31204 t=9469
bi3 ji4 	筆記	c=4 d=1.22815 t=9469
bi3 ji4 ben3 	筆記本	c=2 d=1.79223 t=9469
bi3 jiao4 	比較	c=17 d=3.40358 t=9469
bi3 ni3 	比你	c=2 d=0.683588 t=9469
bi3 qi3 	比起	c=3 d=1.25127 t=9469
bi3 shou3 	匕首	c=1 d=0.927743 t=9469
bi3 wo3 	比我	c=1 d=0.822835 t=9469
bi4 bi4 	比比	c=1 d=0.00918669 t=9469
bi4 jing4 	畢竟	c=1 d=0.955997 t=9469
bi4 mian3 	避免	c=1 d=0.0692522 t=9469
bi4 miao3 	必秒	c=1 d=0.126818 t=9469
bi4 xiu1 	必修	c=2 d=1.93707 t=9453
bi4 yao1 	必要	c=2 d=0.695339 t=9469
bi4 zui3 	閉嘴	c=1 d=0.358796 t=9469
bian1 	編	c=1 d=0.951229 t=9469
bian1 cheng2 	編程	c=1 d=0.516851 t=9469
bian1 fu2 	蝙蝠	c=2 d=0.264477 t=9469
bian1 jie4 	邊界	c=1 d=0.704688 t=9469
bian1 xie3 	編寫	c=1 d=0.740818 t=9469
bian1 yi4 	編譯	c=1 d=0.843665 t=9469
bian1 yi4 qi4 	編譯器	c=1 d=0.50409 t=9469
bian4 	便	c=2 d=1.35694 t=9469
bian4 	變	c=4 d=2.08546 t=9469
bian4 chang2 	變長	c=1 d=0.882497 t=9469
bian4 cheng2 	變成	c=5 d=1.16695 t=9469
bian4 da4 	變大	c=1 d=0.839457 t=9469
bian4 di4 	遍地	c=1 d=0.71177 t=9469
bian4 ke3 	便可	c=1 d=0.790571 t=9469
bian4 shou4 	變瘦	c=1 d=0.882497 t=9469
bian4 tai4 	變態	c=1 d=0.282239 t=9469
biao3 shi4 	表示	c=1 d=0.790571 t=9469
bie2 	別	c=5 d=1.50481 t=9469
bie2 de5 	別的	c=2 d=0.236928 t=9469
bie2 guan3 	別管	c=1 d=0.594521 t=9469
bie2 qu4 	別去	c=1 d=0.609571 t=9469
bie2 ren2 	別人	c=3 d=1.42468 t=9469
bie2 shuo1 	別說	c=1 d=0.786628 t=9469
bie2 yong4 	別用	c=1 d=0.579842 t=9469
bie2 zai4 	別再	c=3 d=1.1705 t=9469
bing1 kuai4 	冰塊	c=1 d=0.516851 t=9469
bing1 shuang1 	冰霜	c=1 d=0.0593087 t=9469
bing3 	餅	c=1 d=0.694197 t=9469
bing4 	並	c=1 d=0.621885 t=9469
bing4 	併	c=1 d=0.647265 t=9469
bing4 bu4 shi4 	並不是	c=1 d=0.0639279 t=9469
bing4 mei2 you3 	並沒有	c=1 d=0.818731 t=9469
bo1 	波	c=1 d=0.07502 t=9469
bo1 li2 ping2 	玻璃瓶	c=1 d=0.65377 t=9469
bo2 	勃	c=1 d=0.752014 t=9469
